drug_id	drug_name	restrictions	drug_description	pathways	general_references
DB00027	Gramicidin D	approved	Gramcidin D is a heterogeneous mixture of three antibiotic compounds, gramicidins A, B and C, making up 80%, 6%, and 14% respectively all of which are obtained from the soil bacterial species Bacillus brevis and called collectively gramicidin D. Gramcidins are 15 residue peptides with alternating D and L amino acids, which assemble inside of the hydrophobic interior of the cellular lipid bilayer to form a β-helix. Active against most Gram-positive bacteria and some Gram-negative organisms, Gramicidin D is used primarily as a topical antibiotic and is also found in Polysporin ophthalmic solution.		
DB00028	Human immunoglobulin G	approved,investigational	Intravenous immunoglobulin (IVIg) is a mixture of IgG1 and other antibodies derived from healthy human plasma via Cohn fractionation. The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. IgG subclasses are fully represented in the following proportions: 70.3% IgG1, 24.7% IgG2, 3.1% IgG3, and 1.9% IgG4. IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders.		
DB00029	Anistreplase	approved	Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins.	Anistreplase Action Pathway	
DB00030	Insulin human	approved,investigational	Human Insulin, also known as Regular Insulin, is a short-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Human insulin is produced by recombinant DNA technology and is identical to endogenously produced insulin. Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually causes cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after trying several oral medications such as [DB00331], [DB01120], or [DB01261] have been tried, when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own. Marketed as the brand name product Humulin R or Novolin R, human insulin begins to exert its effects within 30 minutes of subcutaneous administration, while peak levels occur 3-4 hours after administration. Due to its quick onset of action, human insulin is considered "bolus insulin" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Bolus insulin is often combined with once daily, long-acting "basal insulin" such as [DB01307], [DB09564], and [DB00047] to provide low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.Human insulin is also available in an inhalable form, intended to be used as a bolus meal-time insulin. Exubera was the first inhaled insulin available on the market and was developed by Inhale Therapeutics (later named Nektar Therapeutics). Unfortunately, limited uptake by physicians and patients, poor sales, bulky packaging, and concerns over the possible impact on lung cancer development resulted in Exubera products being withdrawn from the US markets [A176005]. Exubera was followed by Afrezza, a monomeric inhaled insulin developed by Mannkind Corporation, which received FDA approval in 2016. While still available in the US, Afrezza has had similar concerns associated with its use, and had an FDA "black box" warning added to it to warn about use in patients with chronic lung disease. Afrezza does not currently have Health Canada or European Medicines Agency approval for marketing in Canada or the EU. Human Insulin is a 51 residue peptide hormone produced by recombinant DNA technology by inserting the human insulin gene into Escherichia coli bacteria or Saccharomyces cerevisiae. The structure is identical to native human insulin, with two amino acid chains covalently linked by disulfide bonds. Human insulin is also available in an intermediate-acting form as NPH (Neutral Protamine Hagedorn) as the marketed products Novolin N and Humulin N. NPH insulin is provided as a crystalline suspension of insulin with protamine and zinc, resulting in an onset of action in 1 to 3 hours, duration of action up to 24 hours, and peak action from 6 to 8 hours. Due to the added crystals, NPH insulin is typically cloudy when compared to other forms of insulin and has a neutral pH.Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.		
DB00031	Tenecteplase	approved	Tenecteplase is a tissue plasminogen activator (tPA) developed from modifications of natural human tPA complementary DNA (cDNA). It is a 527 amino acid with a substitution of threonine 103 with asparagine and substitution of asparagine 117 with glutamine within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain.	Tenecteplase Action Pathway	
DB00032	Menotropins	approved	Menotropins contains follicle stimulating hormone (FSH) and luteinizing hormone (LH) purified from the urine of postmenopausal women.  It is used as a fertility medication that is injected either subcutaneously or intramuscularly. It is composed of LH with 2 subunits, alpha = 92 residues, beta = 121 residues and FSH with 2 subunits, alpha = 92 residues, beta=111 residues.		
DB00033	Interferon gamma-1b	approved,investigational	Human Interferon gamma-1b (140 residues), produced from E. coli. Production of Actimmune is achieved by fermentation of a genetically engineered Escherichia coli bacterium containing the DNA which encodes for the human protein. Purification of the product is achieved by conventional column chromatography. The sequence displayed is a cDNA sequence which codes for human interferon gamma, as described by Gray et. al. and not specifically interferon gamma 1b.		
DB00034	Interferon alfa-2a, Recombinant	approved,investigational	Interferon a (human leukocyte protein moiety reduced). A type I interferon consisting of 165 amino acid residues with lysine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent. An oral form is being developed by Amarillo Biosciences.		
DB00035	Desmopressin	approved	Desmopressin (dDAVP), a synthetic analogue of 8-arginine vasopressin (ADH), is an antidiuretic peptide drug modified by deamination of 1-cysteine and substitution of 8-L-arginine by 8-D-arginine. ADH is an endogenous pituitary hormone that has a crucial role in the control of the water content in the body. Upon release from the stimulation of increased plasma osmolarity or decreased circulating blood volume, ADH mainly acts on the cells of the distal part of the nephron and the collecting tubules in the kidney [T28]. The hormone interacts with V1, V2 or V3 receptors with differing signal cascade systems.Desmopressin displays enhanced antidiuretic potency, fewer pressor effects due to V2-selective actions, and a prolonged half-life and duration of action compared to endogenous ADH [A31661]. It has been employed clinically since 1972 and is available in various formulations including intranasal solution, intravenous solution, oral tablet and oral lyophilisate [A31662]. Desmopressin is indicated for the treatment of polyuric conditions including primary nocturnal enuresis, nocturia, and diabetes insipidus. It was also newly approved for the treatment of mild classical hemophilia and von Willebrand's disease for minor surgeries. The active ingredient in most formulations is desmopressin acetate. Nocdurna, or desmopressin acetate, was approved by the FDA on June 21st, 2018 for the treatment of nocturia due to nocturnal polyuria in adults. It is available as a sublingual tablet.		
DB00036	Coagulation factor VIIa Recombinant Human	approved	Recombinant human coagulation Factor VIIa (rFVIIa), intended for promoting hemostasis by activating the extrinsic pathway of the coagulation cascade. NovoSeven is a vitamin K-dependent glycoprotein consisting of 406 amino acid residues. Cloned and expressed in hamster kidney cells, the protein is catalytically active in a two-chain form.		
DB00038	Oprelvekin	approved,investigational	Oprelvekin, the active ingredient in Neumega®, is recombinant Interleukin-11 (IL-11), which is produced in Escherichia coli (E. coli) by recombinant DNA technology. With a molecular mass of approximately 19,000 daltons, the non-glycosylated protein is 177 amino acids in length in comparison to the natural IL-11, which is 178 amino acid long. However, it displays comparable biological activity compared to the natural IL-11 _in vitro_ and _in vivo_. Oprelvekin works by stimulating megakaryocytopoiesis and thrombopoiesis. In mice and nonhuman primate studies of animals with moderate and severe myelosuppression, in addition to compromised hematopoiesis, oprelvekin was shown to potently induce thrombopoiesis and improve platelet nadirs and accelerated platelet recoveries compared to controls. In animal studies, oprelvekin was also shown to regulate intestinal epithelium growth by enhancing healing of gastrointestinal lesions, inhibit adiopegenesis and macrophageal released pro-inflammatory cytokines, and induce acute phase protein synthesis.		
DB00039	Palifermin	approved	Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.Palifermin was granted FDA approval on 15 December 2004.[L17933]		
DB00040	Glucagon	approved	Glucagon is a 29 amino acid hormone used as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia.[L7634,L7637,L7640,L7643,L8519] Glucagon raises blood sugar through activation of hepatic glucagon receptors, stimulating glycogenolysis and the release of glucose.[L7640,L7643]Glucagon was granted FDA approval on 14 November 1960.[L7631]		
DB00041	Aldesleukin	approved	Aldesleukin, a lymphokine, is produced by recombinant DNA technology using a genetically engineered E. coli strain containing an analog of the human interleukin-2 gene. Genetic engineering techniques were used to modify the human IL-2 gene, and the resulting expression clone encodes a modified human interleukin-2. This recombinant form differs from native interleukin-2 in the following ways: a) Aldesleukin is not glycosylated because it is derived from E. coli; b) the molecule has no N-terminal alanine; the codon for this amino acid was deleted during the genetic engineering procedure; c) the molecule has serine substituted for cysteine at amino acid position 125.		
DB00042	Botulinum Toxin Type B	approved,investigational	Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps.		
DB00043	Omalizumab	approved,investigational	Omalizumab, manufactured by _Genentech_, was first FDA approved in 2003 to treat adults and children 12 years of age and older with moderate to severe persistent allergic asthma which is not controlled by inhaled steroids [L4670]. Since its U.S. approval, more than 200,000 patients older than 12 with allergic asthma have been treated [L4670].  In September 2018, a new prefilled syringe formulation of this drug was approved by the FDA [L4671].		
DB00044	Lutropin alfa	approved	Lutropin alfa is a recombinant human luteinizing hormone produced in yeast with 2 subunits, alpha = 92 residues, beta = 121 residues. It is a heterodimeric glycoprotein made up of monomeric units. Lutropin alfa was the first and only recombinant human form of luteinizing hormone (LH) developed for use in the stimulation of follicular development. Its pharmacological action mimics the biological activity of endogenous LH; an acute rise of LH, or LH surge, in females triggers ovulation and the development of the corpous luteum. In males, LH stimulates Leydig cell to produce testosterone.		
DB00045	Lyme disease vaccine (recombinant OspA)	approved,withdrawn	Vaccine against Lyme disease that contains lipoprotein OspA, an outer surface protein of Borrelia burgdorferi sensu stricto ZS7, as expressed by Escherichia coli. Lipoprotein OspA is a single polypeptide chain of 257 amino acids with lipids covalently bonded to the N terminus. It is conjugated with alum (aluminum hydroxide) as an adjuvant.		
DB00046	Insulin lispro	approved	Insulin lispro is a rapid-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin, such as insulin lispro, to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually cause cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after several oral medications such as [DB00331], [DB01120], or [DB01261] have been tried, and when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own. Marketed as the brand name product Humalog, insulin lispro begins to exert its effects within 15 minutes of subcutaneous administration, while peak levels occur 30 to 90 minutes after administration. Due to its duration of action of around 5 hours, Humalog is considered "bolus insulin" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Bolus insulin is often combined with once daily, long-acting "basal insulin" such as [DB01307], [DB09564], or [DB00047] to provide low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.Insulin lispro is produced by recombinant DNA technology utilizing a non-pathogenic laboratory strain of Escherichia coli and was the first commercially available insulin analog. Formerly called LYSPRO from the chemical nomenclature [LYS(B28), PRO(B29)], insulin lispro differs from human insulin in that the amino acid proline at position B28 is replaced by lysine and the lysine in position B29 is replaced by proline. These biochemical changes result in a reduced tendency for self-association resulting in dissolution to a dimer and then to a monomer that is absorbed more rapidly after subcutaneous injection compared to endogenous human insulin. Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.		
